prod_codi,prod_nome,prod_url
23529BR-BL, CABIDE PARALLEL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23529BR-BL.png
23529BR-RGD, CABIDE PARALLEL RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23529BR-RGD.png
23524BR-CP, PORTA TOALHA BARRA PARALLEL 457MM CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23524BR-CP.png
23524BR-BL,PORTA TOALHA BARRA PARALLEL 457MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23524BR-BL.png
23524BR-RGD,PORTA TOALHA BARRA PARALLEL 457MM RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23524BR-RGD.png
T78027BR-8-BN, ACAB VALV TERMOST COMPON OYL BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78027BR-8-BN.png
T78027BR-8-BL, ACAB VALV TERMOST COMPON OYL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78027BR-8-BL.png
T78027BR-8-CP, ACAB VALV TERMOST COMPON OYL CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78027BR-8-CP.png
T78027BR-9-BN, ACAB VALV TERMOST COMPON INDUSTRIAL BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78027BR-9-BN.png
T78027BR-9-BL, ACAB VALV TERMOST COMPON INDUSTRIAL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78027BR-9-BL.png
T78027BR-9-CP, ACAB VALV TERMOST COMPON INDUSTRIAL CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78027BR-9-CP.png
T78026BR-8-BN, ACAB VALV DESV CHUV COMPON OYL BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78026BR-8-BN.png
T78026BR-8-BL, ACAB VALV DESV CHUV COMPON OYL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78026BR-8-BL.png
T78026BR-8-CP, ACAB VALV DESV CHUV COMPON OYL CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78026BR-8-CP.png
T78026BR-4-BN, ACAB VALV DESV CHUV COMPON LEVER BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78026BR-4-BN.png
T78026BR-4-BL,ACAB VALV DESV CHUV COMPON LEVER BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78026BR-4-BL.png
T78026BR-4-CP, ACAB VALV DESV CHUV COMPON LEVER CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78026BR-4-CP.png
T78025BR-8-BN, ACAB VALV CONTR VOL COMPON OYL BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78025BR-8-BN.png
T78025BR-8-BL, ACAB VALV CONTR VOL COMPON OYL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78025BR-8-BL.png
T78025BR-8-CP, ACAB VALV CONTR VOL COMPON OYL CR,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78025BR-8-CP.png
T78025BR-4-BN, ACAB VALV CONTR VOL COMPON LEVER BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78025BR-4-BN.png
20589BR-4-CP, TORN COZ PAR ALEO CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/20589BR-4-CP.png
23527BR-CP, PAPELEIRA VERTICAL PARALLEL CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23527BR-CP.png
T78025BR-9-BN, ACAB VALV CONTR VOL COMPON INDUSTRIAL BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78025BR-9-BN.png
T78025BR-9-BL, ACAB VALV CONTR VOL COMPON INDUSTRIAL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78025BR-9-BL.png
T78025BR-9-CP, ACAB VALV CONTR VOL COMPON INDUSTRIAL CR,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78025BR-9-CP.png
T78025BR-4-BN, ACAB VALV CONTR VOL COMPON LEVER BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78025BR-4-BN.png
T78025BR-4-BL, ACAB VALV CONTR VOL COMPON LEVER BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78025BR-4-BL.png
T78025BR-4-CP, ACAB VALV CONTR VOL COMPON LEVER CR,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78025BR-4-CP.png
T78027BR-9-BL, ACAB VALV TERMOST COMPON INDUSTRIAL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78027BR-9-BL.png
T78027BR-4-BN, ACAB VALV TERMOST COMPON LEVER BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78027BR-4-BN.png
T78027BR-4-BL, ACAB VALV TERMOST COMPON LEVER BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78027BR-4-BL.png
T78027BR-4-CP, ACAB VALV TERMOST COMPON LEVER CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78027BR-4-CP.png
T78027BR-4-BL, ACAB VALV TERMOST COMPON LEVER BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78027BR-4-BL.png
78372BR-BL, PORTA TOALHA BARRA COMPON 457MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/78372BR-BL.png
78373BR-BL, PORTA TOALHA BARRA COMPON 610MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/78373BR-BL.png
78377BR-BL, TOALHEIRO COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/78377BR-BL.png
78378BR-BL, CABIDE COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/78378BR-BL.png
78382BR-BL, PAPELEIRA COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/78382BR-BL.png
78382BR-BN, PAPELEIRA COMPON BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/78382BR-BN.png
78382BR-BL, PAPELEIRA COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/78382BR-BL.png
78382BR-RGD, PAPELEIRA COMPON RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/78382BR-RGD.png
23484BR-4-CP, MIST LAV BICA BX PARALLEL CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23484BR-4-CP.png
23484BR-4-BL, MIST LAV BICA BX PARALLEL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23484BR-4-BL.png
23484BR-4-RGD, MIST LAV BICA BX PARALLEL RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23484BR-4-RGD.png
23484BR-4-BL, MIST LAV BICA BX PARALLEL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23484BR-4-BL.png
23472BR-4ND-CP, MIST MON LAV BICA BX PARALLEL CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23472BR-4ND-CP.png
23472BR-4ND-BL, MIST MON LAV BICA BX PARALLEL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23472BR-4ND-BL.png
